time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.9158067156698703e-08,-9.40471989874594e-08,10.00471201618317,6.282926006032749,2.231047804190922e-05,0.0,-1.8820667247414083e-06,-1.5443402471601908e-05,0.15705783454761438,-0.014787896597295704,0.001105407887260331,0.0,454.9043960040658,454.9928789509053,454.93055048546375,453.7452140939174
0.12000000000000001,-9.707969716531912e-07,-1.2160243453403066e-05,10.023172775325284,6.282179318347733,6.282962199059085,0.0,-2.175995400352557e-05,-0.0004939291652948778,0.4582286903450048,-0.008128235834400147,-0.017307797301027827,0.0,496.9789644095567,495.62780817515585,496.850985772773,497.33905183598137
0.18,7.237879253848122e-06,-6.61293104868834e-05,10.055829768012549,6.282196637066189,6.281879118369371,0.0,0.00041482189631068095,-0.001327146761146658,0.6302580703394428,0.01329770311062488,-0.019581417038536095,0.0,459.64392763684987,459.4638113801414,458.4595096675429,460.15850157824957
0.23999999999999996,6.405362340487336e-05,-0.0001635306191169383,10.097022635273774,6.28284582264191,6.280838476740765,0.0,0.0015936340360527112,-0.0018438140427658543,0.7427704976846808,0.005335596057339513,-0.013208020347637899,0.0,440.9278856105161,441.4540946968852,441.69838457762256,441.0412389016989
0.3,0.0002189219875073365,-0.00028096439082819183,10.147910102585183,6.282869219082489,6.279502232435792,0.0,0.0036771616156096227,-0.0020472994641840122,0.9533261802121493,-0.012009197939116844,-0.054825853644969044,0.0,473.6535945273129,470.44223528100025,471.1438406766826,469.80109560552347
0.36000000000000004,0.0005488556899978925,-0.0004151647220276885,10.212910165917027,6.28222466569666,6.275855643898026,0.0,0.007750374617812737,-0.002511557363127205,1.2131015426636331,-0.008322530140982276,-0.0766346248728267,0.0,486.89880601070394,485.26221721456625,485.55095021871716,485.82755026731877
0.4200000000000001,0.0012207623818046701,-0.0005924457306404009,10.293523188540362,6.281242598984587,6.272152655924188,0.0,0.015153435054967534,-0.0034788928626904173,1.4736959446223414,-0.04179120877937823,-0.04192876363120482,0.0,485.26005360174605,487.8552585635319,487.97469776172,485.47013822042015
0.48000000000000015,0.002374627140958207,-0.000852403953133038,10.385569847913414,6.278735453630787,6.269716617148633,0.0,0.023566843800557728,-0.0054493845824414855,1.5943614543903504,-0.04177485559750567,-0.038069238727018465,0.0,445.2752692214938,445.59000864355824,445.6923951877122,445.6927992998036
0.5400000000000001,0.004097544257528227,-0.0012888301257047061,10.4858307014333,6.2759806564216625,6.267699626507289,0.0,0.034095532338643944,-0.009384199278001371,1.7474405246493214,-0.055834404165974884,-0.02593894466778798,0.0,456.67785870998597,457.6438748419864,455.2390345806993,454.1114894476409
0.6000000000000002,0.0064533246228802715,-0.0020046481145923195,10.592667672406701,6.273381776526993,6.26596630653164,0.0,0.044587629887465556,-0.014756800490190148,1.813683759065454,-0.025799182344822875,-0.03555808751556702,0.0,429.4501446757566,428.6332181665586,427.91880867086763,430.4664200560892
0.6600000000000003,0.009559731535982503,-0.0031370301113976267,10.708299240160933,6.271723958328391,6.263622958355166,0.0,0.059221463654262056,-0.023178572577768335,2.0403182900544983,-0.03156943551655903,-0.047173603206961984,0.0,479.05109954507185,478.16643920643094,478.6694739682475,478.2300504798851
0.7200000000000003,0.01346794441912896,-0.004736894401561093,10.83077350599809,6.269384243508291,6.261568356232429,0.0,0.07125887779626391,-0.030328943973582014,2.0421469013992977,-0.06111662109341734,-0.016320492140904516,0.0,406.67342804473645,409.426732944757,410.9383047378757,408.309715488332
0.7800000000000004,0.018275505685854787,-0.006909820448018713,10.96004165632856,6.265810280358275,6.260394023923256,0.0,0.08911237957441685,-0.04253137607266496,2.266364314945698,-0.056633684681132564,-0.027031024336493504,0.0,478.2224310230484,477.40600086867255,479.30795934919115,479.64629619276
0.8400000000000004,0.024060753565699956,-0.009803390188286193,11.097353902687638,6.261918268502502,6.258350530694564,0.0,0.10389299861260014,-0.05425151221086838,2.3106107448689897,-0.09138497633409567,-0.05430921803825961,0.0,425.2442103251426,422.9004353615387,425.4660657716844,422.4765407815148
0.9000000000000005,0.030777150018841157,-0.013481287095215986,11.237317490160446,6.2559210811452175,6.255357272076797,0.0,0.12027630784728396,-0.06886996682869911,2.3547305719608724,-0.12862628839676388,-0.04225770257529445,0.0,423.69939537932555,424.7324700941215,425.81544934003546,422.60758542402885
0.9600000000000005,0.0385843803107242,-0.018211764339626867,11.381806256545268,6.247655785072132,6.252799581984567,0.0,0.14022034193694746,-0.08961335818948775,2.4613038039065818,-0.17080305624516018,-0.043379369064417424,0.0,443.9848119669073,443.89177988951946,446.8127607117384,443.34186990420613
1.0200000000000005,0.04750785534662612,-0.024206788177667568,11.528344901572892,6.237759177552171,6.250140826460008,0.0,0.15744566380982813,-0.11104357794974815,2.423357104788856,-0.15525357804744166,-0.04624697255269566,0.0,397.0615726868531,396.79703394789783,396.8099456152465,398.20509124574215
1.0800000000000005,0.057573265315529504,-0.031738322445783604,11.67450226021223,6.228370560775598,6.247237514726887,0.0,0.17832366484760456,-0.1408544391802003,2.4484462280762873,-0.15903984811404626,-0.05305649449246271,0.0,418.9552372260558,418.36115364834023,418.91522438625907,418.5610131625568
1.1400000000000006,0.06904040552839662,-0.04137773191728171,11.824727438910505,6.218809013850867,6.243776074054329,0.0,0.2042469901511718,-0.18143310150394978,2.558741445668728,-0.1600045510018871,-0.0690992117306025,0.0,448.1250759797808,446.8167682570273,445.4833069871618,445.38036673616625
